fareId,agsscystatus
CEN,m
W1,m
S1,m
S2,m
S3,m
S4,m
S5,m
S6,m
S7,m
S8,m
S9,s
S10,s
S11,s
S12,s
E1,m
E2,m
E3,m
E4,m
E5,m
E6,m
E7,m
E8,m
E9,m
E10,s
E11,s
E12,s
E13,s
E14,s
E15,s
E16,s
E17,s
E18,s
E19,s
E20,s
E21,s
E22,s
E23,s
N1,m
N2,m
N3,m
N4,m
N5,m
N7,m
N8,m
N9,s
N10,s
N11,s
N12,s
N13,s
N14,s
N15,s
N16,s
N17,s
N18,s
N19,s
N20,s
N21,s
N22,s
N23,s
N24,s
BL01,1
BL02,2
BL03,3
BL04,4
BL05,5
BL06,6
BL07,7
BL08,8
BL09,9
BL10,10
BL11,11
BL12,12
BL13,13
BL14,14
BL15,15
BL16,16
BL17,17
BL18,18
BL19,19
BL20,20
BL21,21
BL22,22
BL23,23
BL24,24
BL25,25
BL26,26
BL27,27
BL28,28
BL29,29
BL30,30
BL31,31
BL32,32
BL33,33
BL34,34
BL35,35
BL36,36
BL37,37
BL38,38
G1,1
G2,2
G3,3
PP01,1
PP02,2
PP03,3
PP04,4
PP05,5
PP06,6
PP07,7
PP08,8
PP09,9
PP10,10
PP11,11
PP12,12
PP13,13
PP14,14
PP15,15
PP16,16
PK01,1
PK02,2
PK03,3
PK04,4
PK05,5
PK06,6
PK07,7
PK08,8
PK09,9
PK10,10
MT01,11
MT02,12
PK11,13
PK12,14
PK13,15
PK14,16
PK15,17
PK16,18
PK17,19
PK18,20
PK19,21
PK20,22
PK21,23
PK22,24
PK23,25
PK24,26
PK25,27
PK26,28
PK27,29
PK28,30
PK29,31
PK30,32
A1,1
A2,2
A3,3
A4,4
A5,5
A6,6
A7,7
A8,8
YL01,1
YL02,2
YL03,3
YL04,4
YL05,5
YL06,6
YL07,7
YL08,8
YL09,9
YL10,10
YL11,11
YL12,12
YL13,13
YL14,14
YL15,15
YL16,16
YL17,17
YL18,18
YL19,19
YL20,20
YL21,21
YL22,22
YL23,23
RW06,1
RW05,2
RW02,3
RW01,4
RN01,4
RN02,5
RN03,6
RN04,7
RN05,8
RN06,9
RN07,10
RN08,11
RN09,12
RN10,13
