startid,endid,duration
CEN,W1,1
CEN,S1,1
CEN,N1,1
CEN,E1,1
W1,CEN,1
S1,CEN,1
S1,S2,1
S2,S1,1
S2,S3,1
S2,BL26,0000
S3,S2,1
S3,S4,1
S4,S3,1
S4,S5,1
S5,S4,1
S5,S6,1
S6,S5,1
S6,S7,1
S7,S6,1
S7,S8,1
S7,G1,0000
S8,S7,1
S8,S9,1
S9,S8,1
S9,S10,1
S10,S9,1
S10,S11,1
S11,S10,1
S11,S12,1
S12,S11,1
S12,BL34,0000
E1,CEN,1
E1,E2,1
E2,E1,1
E2,E3,1
E3,E2,1
E3,E4,1
E4,E3,1
E4,E5,1
E4,BL22,0000
E5,E4,1
E5,E6,1
E6,E5,1
E6,E7,1
E7,E6,1
E7,E8,1
E8,E7,1
E8,E9,1
E9,E8,1
E9,E10,1
E10,E9,1
E10,E11,1
E11,E10,1
E11,E12,1
E12,E11,1
E12,E13,1
E13,E12,1
E13,E14,1
E14,E13,1
E14,E15,1
E15,E14,1
E15,E16,1
E16,E15,1
E16,E17,1
E17,E16,1
E17,E18,1
E18,E17,1
E18,E19,1
E19,E18,1
E19,E20,1
E20,E19,1
E20,E21,1
E21,E20,1
E21,E22,1
E22,E21,1
E22,E23,1
E23,E22,1
N1,CEN,1
N1,N2,1
N2,N1,1
N2,N3,1
N3,N2,1
N3,N4,1
N4,N3,1
N4,N5,1
N5,N4,1
N5,N7,1
N7,N5,1
N7,N8,1
N8,N7,1
N8,N9,1
N8,BL13,0000
N9,N8,1
N9,N10,1
N9,BL14,0000
N10,N9,1
N10,N11,1
N11,N10,1
N11,N12,1
N12,N11,1
N12,N13,1
N13,N12,1
N13,N14,1
N14,N13,1
N14,N15,1
N15,N14,1
N15,N16,1
N16,N15,1
N16,N17,1
N17,N16,1
N17,N18,1
N18,N17,1
N18,N19,1
N19,N18,1
N19,N20,1
N20,N19,1
N20,N21,1
N21,N20,1
N21,N22,1
N22,N21,1
N22,N23,1
N23,N22,1
N23,N24,1
N24,N23,1
