stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id
ST,Opposite Na Luang School,13.6474424,100.4949066,ST,,
ST,Na Luang School,13.647832,100.494577,ST,,
ST,Opposite Bangmod Stadium,13.6485699,100.4934474,ST,,
ST,Bangmod Stadium,13.6484973,100.4932735,ST,,
ST,Opposite Thonburirom Park,13.6494555,100.4918313,ST,,
ST,Thonburirom Park,13.6498965,100.4914017,ST,,
ST,Opposite Bangmod Land Village,13.6503877,100.4892268,ST,,
ST,Bangmod Land Village,13.6503055,100.4890748,ST,,
ST,Opposite Baan Suan Thon Condominium,13.6510502,100.4872971,ST,,
ST,Baan Suan Thon Condominium,13.6512436,100.4871366,ST,,
ST,Opposite Suan Thon Park Condominium,13.6513360,100.4855973,ST,,
ST,Suan Thon Park Condominium,13.6514915,100.4854420,ST,,
ST,Mantana Rama 2-Phuttha Bucha Village,13.6508876,100.4836931,ST,,
ST,Opposite Mantana Rama 2-Phuttha Bucha Village,13.6508557,100.4833172,ST,,
ST,Alicha Place Village,13.6491447,100.4808630,ST,,
ST,Opposite Alicha 3 Village,13.648191,100.480404,ST,,
ST,Alicha 1 Village,13.646967,100.480070,ST,,
ST,Thantip Bus Depot,13.6436947,100.4791253,ST,,
ST,Opposite Soi Phuttha Bucha 37/1,13.650616,100.479273,ST,,
ST,Soi Phuttha Bucha 37/1,13.6508376,100.4790529,ST,,
ST,Opposite Wat Phuttha Bucha,13.6512656,100.4750112,ST,,
ST,Wat Phuttha Bucha,13.6512454,100.4749926,ST,,
ST,Soi Pracha Uthit 53,13.646604,100.497150,ST,,
ST,Soi Pracha Uthit 46/1,13.646513,100.497042,ST,,
ST,Pracha Uthit 61 Market,13.644388,100.498968,ST,,
ST,Soi Pracha Uthit 54,13.643481,100.499078,ST,,
ST,Soi Pracha Uthit 69,13.642173, 100.499663,ST,,
ST,Opposite Soi Pracha Uthit 69,13.640771,100.499987,ST,,
ST,Market Place Prachauthits,13.639764,100.500529,ST,,
ST,Islamic College of Thailand,13.638112,100.501237,ST,,
ST,Opposite Islamic College of Thailand,13.637481,100.501371,ST,,
ST,Soi Pracha Uthit 75,13.636055,100.502120,ST,,
ST,Opposite Soi Pracha Uthit 75,13.636206,100.501932,ST,,
ST,Ratburana School,13.634439,100.502742,ST,,
ST,Opposite Ratburana School,13.633709,100.502860,ST,,
ST,Soi Pracha Uthit 85,13.632685,100.503311,ST,,
ST,Soi Pracha Uthit 68,13.631984,100.503418,ST,,
ST,Soi Pracha Uthit 89/1,13.631147,100.503820,ST,,
ST,Ban Dome Kindergarten,13.629630,100.504209,ST,,
ST,Soi Pracha Uthit 91,13.628652,100.504646,ST,,
ST,Opposite Thung Khru Police Station,13.626672,100.505789,ST,,
ST,Thung Khru Police Station,13.626648,100.505961,ST,,
ST,Khlong Rang Chak,13.624258,100.508342,ST,,
ST,Before Khru Nai Junction,13.6233249,100.5095985,ST,,
ST,After Khru Nai Junction,13.6228798,100.5097686,ST,,
ST,Wat Thung Khru School,13.619497,100.5114714,ST,,
ST,Wat Thung Khru,13.6194016,100.511329,ST,,
ST,Chuanchuen Pracha Uthit-Suksawat Village,13.6174568,100.5116359,ST,,
ST,Opposite Chuanchuen Pracha Uthit-Suksawat Village,13.6173468,100.5114943,ST,,
ST,Tassanee Niwet 1 Village,13.6155477,100.5111112,ST,,
ST,Opposite Tassanee Niwet 1 Village,13.6151909,100.5107159,ST,,
ST,Opposite Tassanee Niwet 2 Village,13.6140609,100.5100143,ST,,
ST,Tassanee Niwet 2 Village,13.6134547,100.5097817,ST,,
ST,Thung Khru District Office,13.6123143,100.5098626,ST,,
ST,Big C Pracha Uthit,13.6118538,100.5103962,ST,,
ST,Mantana Thonburirom Village,13.6084285,100.512533,ST,,
ST,Soi Pracha Uthit 96,13.6083764,100.5123815,ST,,
ST,Wararom Village,13.606199,100.5134808,ST,,
ST,Baan Fah Green Park Royal Thonburirom Village,13.6058786,100.5138226,ST,,
ST,Costco Metal Works,13.6042808,100.514567,ST,,
ST,Opposite Costco Metal Works,13.604249,100.5147443,ST,,
ST,Khlong Naklua Noi School,13.5979800,100.5183318,ST,,
ST,Opposite Khlong Naklua Noi School,13.5980347,100.5184590,ST,,
ST,Baan Eua Arthon Pracha Uthit,13.5948592,100.5194555,ST,,
ST,Opposite Baan Eua Arthon Pracha Uthit,13.5949236,100.5195750,ST,,
ST,Opposite Soi Pracha Samakkhi,13.5917353,100.5212525,ST,,
ST,Soi Pracha Samakkhi,13.5914858,100.5212661,ST,,
ST,Opposite Pruksa 82 Village,13.5893644,100.5228118,ST,,
ST,Opposite Suk Charoen 2 Village,13.5874938,100.5240504,ST,,
ST,Suk Charoen 2 Village,13.5873201,100.5239660,ST,,
ST,Opposite Siam Niwet Village,13.5845870,100.5249701,ST,,
ST,Siam Niwet Village,13.5842750,100.5249068,ST,,
ST,Opposite Sinnakhon Ville Village,13.5812662,100.5256746,ST,,
ST,Sinnakhon Ville Village,13.5810353,100.5256026,ST,,
ST,Opposite Siam Niwet 2 Village,13.579217,100.526579,ST,,
ST,Siam Niwet 2 Village,13.5790331,100.5266442,ST,,
