trip_id,arrival_time,departure_time,stop_id,stop_sequence
75_0,06:00:00,06:00:00,STOP_22,1
75_0,06:02:00,06:02:00,STOP_20,2
75_0,06:04:00,06:04:00,STOP_18,3
75_0,06:06:00,06:06:00,STOP_17,4
75_0,06:08:00,06:08:00,STOP_15,5
75_0,06:10:00,06:10:00,STOP_13,6
75_0,06:12:00,06:12:00,STOP_12,7
75_0,06:14:00,06:14:00,STOP_10,8
75_0,06:16:00,06:16:00,STOP_8,9
75_0,06:18:00,06:18:00,STOP_6,10
75_0,06:20:00,06:20:00,STOP_4,11
75_0,06:22:00,06:22:00,STOP_2,12
75_0,06:24:00,06:24:00,STOP_83,13
75_0,06:26:00,06:26:00,STOP_84,14
75_0,06:28:00,06:28:00,STOP_86,15
75_0,06:30:00,06:30:00,STOP_90,16
75_0,06:32:00,06:32:00,STOP_94,17
75_0,06:34:00,06:34:00,STOP_96,18
75_0,06:36:00,06:36:00,STOP_98,19
75_0,06:38:00,06:38:00,STOP_100,20
75_0,06:40:00,06:40:00,STOP_102,21
75_0,06:42:00,06:42:00,STOP_104,22
75_0,06:44:00,06:44:00,STOP_108,23
75_0,06:46:00,06:46:00,STOP_109,24
75_0,06:48:00,06:48:00,STOP_112,25
75_0,06:50:00,06:50:00,STOP_114,26
75_0,06:52:00,06:52:00,STOP_115,27
75_0,06:54:00,06:54:00,STOP_173,28
75_0,06:56:00,06:56:00,STOP_175,29
75_0,06:58:00,06:58:00,STOP_177,30
75_0,07:00:00,07:00:00,STOP_180,31
75_0,07:02:00,07:02:00,STOP_182,32
75_0,07:04:00,07:04:00,STOP_222,33
75_0,07:06:00,07:06:00,STOP_224,34
75_0,07:08:00,07:08:00,STOP_227,35
75_0,07:10:00,07:10:00,STOP_229,36
75_0,07:12:00,07:12:00,STOP_231,37
75_0,07:14:00,07:14:00,STOP_233,38
75_0,07:16:00,07:16:00,STOP_235,39
75_0,07:18:00,07:18:00,STOP_237,40
75_0,07:20:00,07:20:00,STOP_238,41
75_0,07:22:00,07:22:00,STOP_239,42
75_0,07:24:00,07:24:00,STOP_241,43
75_0,07:26:00,07:26:00,STOP_243,44
75_0,07:28:00,07:28:00,STOP_244,45
75_0,07:30:00,07:30:00,STOP_245,46
75_0,07:32:00,07:32:00,STOP_247,47
75_0,07:34:00,07:34:00,STOP_248,48
75_0,07:36:00,07:36:00,STOP_251,49
75_0,07:38:00,07:38:00,STOP_253,50
75_0,07:40:00,07:40:00,STOP_255,51
75_0,07:42:00,07:42:00,STOP_256,52
75_0,07:44:00,07:44:00,STOP_257,53
75_0,07:46:00,07:46:00,STOP_258,54
75_0,07:48:00,07:48:00,STOP_259,55
75_0,07:50:00,07:50:00,STOP_260,56
75_0,07:52:00,07:52:00,STOP_261,57
75_0,07:54:00,07:54:00,STOP_262,58
75_1,06:00:00,06:00:00,STOP_263,1
75_1,06:02:00,06:02:00,STOP_268,2
75_1,06:04:00,06:04:00,STOP_254,3
75_1,06:06:00,06:06:00,STOP_252,4
75_1,06:08:00,06:08:00,STOP_250,5
75_1,06:10:00,06:10:00,STOP_249,6
75_1,06:12:00,06:12:00,STOP_246,7
75_1,06:14:00,06:14:00,STOP_242,8
75_1,06:16:00,06:16:00,STOP_240,9
75_1,06:18:00,06:18:00,STOP_236,10
75_1,06:20:00,06:20:00,STOP_234,11
75_1,06:22:00,06:22:00,STOP_232,12
75_1,06:24:00,06:24:00,STOP_230,13
75_1,06:26:00,06:26:00,STOP_228,14
75_1,06:28:00,06:28:00,STOP_226,15
75_1,06:30:00,06:30:00,STOP_225,16
75_1,06:32:00,06:32:00,STOP_223,17
75_1,06:34:00,06:34:00,STOP_181,18
75_1,06:36:00,06:36:00,STOP_179,19
75_1,06:38:00,06:38:00,STOP_178,20
75_1,06:40:00,06:40:00,STOP_176,21
75_1,06:42:00,06:42:00,STOP_174,22
