trip_id,stop_id,departure_times
F_CPX_O_TRIP1,F_N30,06:00:00;06:20:00;06:40:00;07:00:00;07:20:00;07:45:00;08:10:00;08:40:00;15:40:00;16:00:00;16:20:00;16:40:00;17:00:00;17:35:00;18:10:00
F_CPX_O_TRIP2,F_S3,06:15:00;06:45:00;07:15:00;07:40:00;08:10:00;08:40:00;15:40:00;16:00:00;16:20:00;16:40:00;17:00:00;17:20:00;17:45:00;18:10:00
F_CPX_G_TRIP1,F_N33,06:00:00;06:20:00;06:45:00;07:00:00;07:20:00;07:50:00
F_CPX_G_TRIP2,F_CEN,16:00:00;16:20:00;16:40:00;17:00:00;17:25:00;17:45:00
F_CPX_R_TRIP1,F_N30,06:50:00;07:10:00;07:25:00;07:40:00
F_CPX_R_TRIP2,F_CEN,17:15:00;17:35:00;18:00:00;18:20:00;18:40:00;19:05:00
F_CPX_Y_TRIP1,F_N30,06:00:00;06:20:00;06:40:00;07:00:00;07:15:00;07:45:00;08:05:00
F_CPX_Y_TRIP2,F_CEN,17:15:00;17:35:00;18:00:00;18:20:00;18:40:00;19:05:00
SE_BKK02_KLP,HWH,05:55:00;06:55:00;08:00:00;10:10:00;15:25:00
SE_BKK02_KLP_WE,HWH,06:55:00;08:00:00;10:10:00;15:25:00
F_CPX_YM_TRIP1,F_N30,09:10:00;09:40:00;10:10:00;10:40:00;11:10:00;11:40:00;12:10:00;12:40:00;13:10:00;13:40:00;14:10:00;14:40:00;15:00:00;15:20:00
F_CPX_YM_TRIP2,F_S3,09:10:00;09:40:00;10:10:00;10:40:00;11:00:00;11:20:00;11:40:00;12:10:00;12:40:00;13:10:00;13:40:00;14:00:00;14:20:00;14:40:00;15:00:00;15:20:00
F_CPX_YM_TRIP1_SAT,F_N30,07:30:00;08:00:00;08:40:00;09:20:00;10:00:00;10:40:00;11:10:00;11:40:00;12:10:00;12:40:00;13:10:00;13:40:00;14:00:00;14:20:00;14:40:00;15:00:00;15:20:00;15:45:00;16:10:00;16:40:00;17:00:00
F_CPX_YM_TRIP2_SAT,F_S3,08:40:00;09:20:00;10:00:00;10:40:00;11:10:00;11:40:00;12:10:00;12:40:00;13:10:00;13:40:00;14:10:00;14:40:00;15:00:00;15:20:00;15:40:00;16:00:00;16:20:00;16:40:00;17:00:00;17:20:00;17:45:00
F_CPX_YM_TRIP1_SUN,F_N30,08:40:00;09:20:00;10:00:00;10:40:00;11:10:00;11:40:00;12:10:00;12:40:00;13:10:00;13:40:00;14:00:00;14:20:00;14:40:00;15:00:00;15:20:00;15:45:00;16:10:00;16:35:00;17:00:00
F_CPX_YM_TRIP2_SUN,F_S3,09:40:00;10:20:00;11:00:00;11:40:00;12:10:00;12:40:00;13:10:00;13:40:00;14:10:00;14:40:00;15:00:00;15:20:00;15:40:00;16:00:00;16:20:00;16:40:00;17:00:00;17:20:00;17:45:00
