stop_id,stop_name_th
CEN,สยาม
W1,สนามกีฬาแห่งชาติ
S1,ราชดำริ
S2,ศาลาแดง
S3,ช่องนนทรี
S4,เซนต์หลุยส์
S5,สุรศักดิ์
S6,สะพานตากสิน
S7,กรุงธนบุรี
S8,วงเวียนใหญ่
S9,โพธิ์นิมิตร
S10,ตลาดพลู
S11,วุฒากาศ
S12,บางหว้า
E1,ชิดลม
E2,เพลินจิต
E3,นานา
E4,อโศก
E5,พร้อมพงษ์
E6,ทองหล่อ
E7,เอกมัย
E8,พระโขนง
E9,อ่อนนุช
E10,บางจาก
E11,ปุณณวิถี
E12,อุดมสุข
E13,บางนา
E14,แบริ่ง
E15,สำโรง
E16,ปู่เจ้า
E17,ช้างเอราวัณ
E18,โรงเรียนนายเรือ
E19,ปากน้ำ
E20,ศรีนครินทร์
E21,แพรกษา
E22,สายลวด
E23,เคหะสมุทรปราการ
N1,ราชเทวี
N2,พญาไท
N3,อนุสาวรีย์ชัยสมรภูมิ
N4,สนามเป้า
N5,อารีย์
N7,สะพานควาย
N8,หมอชิต
N9,ห้าแยกลาดพร้าว
N10,พหลโยธิน 24
N11,รัชโยธิน
N12,เสนานิคม
N13,มหาวิทยาลัยเกษตรศาสตร์
N14,กรมป่าไม้
N15,บางบัว
N16,กรมทหารราบที่ 11
N17,วัดพระศรีมหาธาตุ
N18,พหลโยธิน 59
N19,สายหยุด
N20,สะพานใหม่
N21,โรงพยาบาลภูมิพลอดุลยเดช
N22,พิพิธภัณฑ์กองทัพอากาศ
N23,แยก คปอ.
N24,คูคต
G1,กรุงธนบุรี
G2,เจริญนคร
G3,คลองสาน
BL01,ท่าพระ
BL02,จรัญฯ 13
BL03,ไฟฉาย
BL04,บางขุนนนท์
BL05,บางยี่ขัน
BL06,สิรินธร
BL07,บางพลัด
BL08,บางอ้อ
BL09,บางโพ
BL10,เตาปูน
BL11,บางซื่อ
BL12,กำแพงเพชร
BL13,สวนจตุจักร
BL14,พหลโยธิน
BL15,ลาดพร้าว
BL16,รัชดาภิเษก
BL17,สุทธิสาร
BL18,ห้วยขวาง
BL19,ศูนย์วัฒนธรรมแห่งประเทศไทย
BL20,พระราม 9
BL21,เพชรบุรี
BL22,สุขุมวิท
BL23,ศูนย์ประชุมแห่งชาติสิริกิติ์
BL24,คลองเตย
BL25,ลุมพินี
BL26,สีลม
BL27,สามย่าน
BL28,หัวลำโพง
BL29,วัดมังกร
BL30,สามยอด
BL31,สนามไชย
BL32,อิสรภาพ
BL33,บางไผ่
BL34,บางหว้า
BL35,เพชรเกษม 48
BL36,ภาษีเจริญ
BL37,บางแค
BL38,หลักสอง
PK01,ศูนย์ราชการจังหวัดนนทบุรี
PK02,แคราย
PK03,สนามบินน้ำ
PK04,สามัคคี
PK05,กรมชลประทาน
PK06,แยกปากเกร็ด
PK07,ปากเกร็ดบายพาส
PK08,แจ้งวัฒนะ-ปากเกร็ด 28
PK09,ศรีรัช
PK10,เมืองทองธานี
PK11,แจ้งวัฒนะ 14
PK12,ศูนย์ราชการ
PK13,เนชั่นแนลเทเลคอม
PK14,หลักสี่
PK15,ราชภัฏพระนคร
PK16,วัดพระศรีมหาธาตุ
PK17,รามอินทรา 3
PK18,ลาดปลาเค้า
PK19,รามอินทรา กม.4
PK20,มัยลาภ
PK21,วัชรพล
PK22,รามอินทรา กม.6
PK23,คู้บอน
PK24,รามอินทรา กม.9
PK25,วงแหวนรามอินทรา
PK26,นพรัตน์
PK27,บางชัน
PK28,เศรษฐบุตรบำเพ็ญ
PK29,ตลาดมีนบุรี
PK30,มีนบุรี
MT01,อิมแพ็ค เมืองทองธานี
MT02,ทะเลสาบเมืองทองธานี
YL01,ลาดพร้าว
YL02,ภาวนา
YL03,โชคชัย 4
YL04,ลาดพร้าว 71
YL05,ลาดพร้าว 83
YL06,มหาดไทย
YL07,ลาดพร้าว 101
YL08,บางกะปิ
YL09,แยกลำสาลี
YL10,ศรีกรีฑา
YL11,หัวหมาก
YL12,กลันตัน
YL13,ศรีนุช
YL14,ศรีนครินทร์ 38
YL15,สวนหลวง ร.9
YL16,ศรีอุดม
YL17,ศรีเอี่ยม
YL18,ศรีลาซาล
YL19,ศรีแบริ่ง
YL20,ศรีด่าน
YL21,ศรีเทพา
YL22,ทิพวัล
YL23,สำโรง
RN01,สถานีกลางกรุงเทพอภิวัฒน์
RN02,จตุจักร
RN03,วัดเสมียนนารี
RN04,บางเขน
RN05,ทุ่งสองห้อง
RN06,หลักสี่
RN07,การเคหะ
RN08,ดอนเมือง
RN09,หลักหก
RN10,รังสิต
RW01,สถานีกลางกรุงเทพอภิวัฒน์
RW02,บางซ่อน
RW03,สถานีไม่ระบุ
RW04,สถานีไม่ระบุ
RW05,บางบำหรุ
RW06,ตลิ่งชัน
PP01,คลองบางไผ่
PP02,ตลาดบางใหญ่
PP03,สามแยกบางใหญ่
PP04,บางพลู
PP05,บางรักใหญ่
PP06,บางรักน้อยท่าอิฐ
PP07,ไทรม้า
PP08,สะพานพระนั่งเกล้า
PP09,แยกนนทบุรี 1
PP10,บางกระสอ
PP11,ศูนย์ราชการจังหวัดนนทบุรี
PP12,กระทรวงสาธารณสุข
PP13,แยกติวานนท์
PP14,วงศ์สว่าง
PP15,บางซ่อน
PP16,เตาปูน
กท,หัวลำโพง
คต,คลองตัน
กภ,กรุงเทพอภิวัฒน์
งญ,วงเวียนใหญ่
ลู,ตลาดพลู
วุ,วุฒากาศ
ไซ,คลองต้นไทร
ทจ,จอมทอง
สิ,วัดสิงห์
าา,บางบอน
เค,การเคหะ
รแ,รางสะแก
รโ,รางโพธิ์
แย,สามแยก
พแ,พรหมแดน
