trip_id,arrival_time,departure_time,stop_id,stop_sequence
SUKHUMVIT_N24_E23,06:00:00,06:00:00,N24,1
SUKHUMVIT_N24_E23,06:00:00,06:00:00,N23,2
SUKHUMVIT_N24_E23,06:00:00,06:00:00,N22,3
SUKHUMVIT_N24_E23,06:00:00,06:00:00,N21,4
SUKHUMVIT_N24_E23,06:02:00,06:02:00,N20,5
SUKHUMVIT_N24_E23,06:04:00,06:04:00,N19,6
SUKHUMVIT_N24_E23,06:06:00,06:06:00,N18,7
SUKHUMVIT_N24_E23,06:08:00,06:08:00,N17,8
SUKHUMVIT_N24_E23,06:10:00,06:10:00,N16,9
SUKHUMVIT_N24_E23,06:12:00,06:12:00,N15,10
SUKHUMVIT_N24_E23,06:14:00,06:14:00,N14,11
SUKHUMVIT_N24_E23,06:16:00,06:16:00,N13,12
SUKHUMVIT_N24_E23,06:18:00,06:18:00,N12,13
SUKHUMVIT_N24_E23,06:20:00,06:20:00,N11,14
SUKHUMVIT_N24_E23,06:22:00,06:22:00,N10,15
SUKHUMVIT_N24_E23,06:24:00,06:24:00,N9,16
SUKHUMVIT_N24_E23,06:26:00,06:26:00,N8,17
SUKHUMVIT_N24_E23,06:28:00,06:28:00,N7,18
SUKHUMVIT_N24_E23,06:32:00,06:32:00,N5,19
SUKHUMVIT_N24_E23,06:34:00,06:34:00,N4,20
SUKHUMVIT_N24_E23,06:36:00,06:36:00,N3,21
SUKHUMVIT_N24_E23,06:38:00,06:38:00,N2,22
SUKHUMVIT_N24_E23,06:40:00,06:40:00,N1,23
SUKHUMVIT_N24_E23,06:42:00,06:42:00,CEN,24
SUKHUMVIT_N24_E23,06:44:00,06:44:00,E1,25
SUKHUMVIT_N24_E23,06:46:00,06:46:00,E2,26
SUKHUMVIT_N24_E23,06:48:00,06:48:00,E3,27
SUKHUMVIT_N24_E23,06:50:00,06:50:00,E4,28
SUKHUMVIT_N24_E23,06:52:00,06:52:00,E5,29
SUKHUMVIT_N24_E23,06:54:00,06:54:00,E6,30
SUKHUMVIT_N24_E23,06:56:00,06:56:00,E7,31
SUKHUMVIT_N24_E23,06:58:00,06:58:00,E8,32
SUKHUMVIT_N24_E23,07:00:00,07:00:00,E9,33
SUKHUMVIT_N24_E23,07:02:00,07:02:00,E10,34
SUKHUMVIT_N24_E23,07:04:00,07:04:00,E11,35
SUKHUMVIT_N24_E23,07:06:00,07:06:00,E12,36
SUKHUMVIT_N24_E23,07:08:00,07:08:00,E13,37
SUKHUMVIT_N24_E23,07:10:00,07:10:00,E14,38
SUKHUMVIT_N24_E23,07:12:00,07:12:00,E15,39
SUKHUMVIT_N24_E23,07:14:00,07:14:00,E16,40
SUKHUMVIT_N24_E23,07:16:00,07:16:00,E17,41
SUKHUMVIT_N24_E23,07:18:00,07:18:00,E18,42
SUKHUMVIT_N24_E23,07:20:00,07:20:00,E19,43
SUKHUMVIT_N24_E23,07:22:00,07:22:00,E20,44
SUKHUMVIT_N24_E23,07:24:00,07:24:00,E21,45
SUKHUMVIT_N24_E23,07:26:00,07:26:00,E22,46
SUKHUMVIT_N24_E23,07:28:00,07:28:00,E23,47
SILOM_W1_S12,06:00:00,06:00:00,W1,1
SILOM_W1_S12,06:02:00,06:02:00,CEN,2
SILOM_W1_S12,06:04:00,06:04:00,S1,3
SILOM_W1_S12,06:06:00,06:06:00,S2,4
SILOM_W1_S12,06:08:00,06:08:00,S3,5
SILOM_W1_S12,06:10:00,06:10:00,S4,6
SILOM_W1_S12,06:12:00,06:12:00,S5,7
SILOM_W1_S12,06:14:00,06:14:00,S6,8
SILOM_W1_S12,06:16:00,06:16:00,S7,9
SILOM_W1_S12,06:18:00,06:18:00,S8,10
SILOM_W1_S12,06:20:00,06:20:00,S9,11
SILOM_W1_S12,06:22:00,06:22:00,S10,12
SILOM_W1_S12,06:24:00,06:24:00,S11,13
SILOM_W1_S12,06:26:00,06:26:00,S12,14
GOLD_G1_G3,08:00:00,08:00:00,G1,1
GOLD_G1_G3,08:02:00,08:02:00,G2,2
GOLD_G1_G3,08:04:00,08:04:00,G3,3
BL_BL01_BL38,09:00:00,09:00:00,BL01,1
BL_BL01_BL38,09:02:00,09:02:00,BL02,2
BL_BL01_BL38,09:04:00,09:04:00,BL03,3
BL_BL01_BL38,09:06:00,09:06:00,BL04,4
BL_BL01_BL38,09:08:00,09:08:00,BL05,5
BL_BL01_BL38,09:10:00,09:10:00,BL06,6
BL_BL01_BL38,09:12:00,09:12:00,BL07,7
BL_BL01_BL38,09:14:00,09:14:00,BL08,8
BL_BL01_BL38,09:16:00,09:16:00,BL09,9
BL_BL01_BL38,09:18:00,09:18:00,BL10,10
BL_BL01_BL38,09:20:00,09:20:00,BL11,11
BL_BL01_BL38,09:02:00,09:02:00,BL12,12
BL_BL01_BL38,09:04:00,09:04:00,BL13,13
BL_BL01_BL38,09:06:00,09:06:00,BL14,14
BL_BL01_BL38,09:08:00,09:08:00,BL15,15
BL_BL01_BL38,09:10:00,09:10:00,BL16,16
BL_BL01_BL38,09:12:00,09:12:00,BL17,17
BL_BL01_BL38,09:14:00,09:14:00,BL18,18
BL_BL01_BL38,09:16:00,09:16:00,BL19,19
BL_BL01_BL38,09:18:00,09:18:00,BL20,20
BL_BL01_BL38,09:20:00,09:20:00,BL21,21
BL_BL01_BL38,09:22:00,09:22:00,BL22,22
BL_BL01_BL38,09:24:00,09:24:00,BL23,23
BL_BL01_BL38,09:26:00,09:26:00,BL24,24
BL_BL01_BL38,09:28:00,09:28:00,BL25,25
BL_BL01_BL38,09:30:00,09:30:00,BL26,26
BL_BL01_BL38,09:32:00,09:32:00,BL27,27
BL_BL01_BL38,09:34:00,09:34:00,BL28,28
BL_BL01_BL38,09:36:00,09:36:00,BL29,29
BL_BL01_BL38,09:38:00,09:38:00,BL30,30
BL_BL01_BL38,09:40:00,09:40:00,BL31,31
BL_BL01_BL38,09:42:00,09:42:00,BL32,32
BL_BL01_BL38,09:44:00,09:44:00,BL01,33
BL_BL01_BL38,09:46:00,09:46:00,BL33,34
BL_BL01_BL38,09:48:00,09:48:00,BL34,35
BL_BL01_BL38,09:50:00,09:50:00,BL35,36
BL_BL01_BL38,09:52:00,09:52:00,BL36,37
BL_BL01_BL38,09:54:00,09:54:00,BL37,38
BL_BL01_BL38,09:56:00,09:56:00,BL38,39
PP_PP01_PP16,10:00:00,10:00:00,PP01,1
PP_PP01_PP16,10:02:00,10:02:00,PP02,2
PP_PP01_PP16,10:04:00,10:04:00,PP03,3
PP_PP01_PP16,10:06:00,10:06:00,PP04,4
PP_PP01_PP16,10:08:00,10:08:00,PP05,5
PP_PP01_PP16,10:10:00,10:10:00,PP06,6
PP_PP01_PP16,10:12:00,10:12:00,PP07,7
PP_PP01_PP16,10:14:00,10:14:00,PP08,8
PP_PP01_PP16,10:16:00,10:16:00,PP09,9
PP_PP01_PP16,10:18:00,10:18:00,PP10,10
PP_PP01_PP16,10:20:00,10:20:00,PP11,11
PP_PP01_PP16,10:22:00,10:22:00,PP12,12
PP_PP01_PP16,10:24:00,10:24:00,PP13,13
PP_PP01_PP16,10:26:00,10:26:00,PP14,14
PP_PP01_PP16,10:28:00,10:28:00,PP15,15
PP_PP01_PP16,10:30:00,10:30:00,PP16,16
PK_PK01_PK30,11:00:00,11:00:00,PK01,1
PK_PK01_PK30,11:02:00,11:02:00,PK02,2
PK_PK01_PK30,11:04:00,11:04:00,PK03,3
PK_PK01_PK30,11:06:00,11:06:00,PK04,4
PK_PK01_PK30,11:08:00,11:08:00,PK05,5
PK_PK01_PK30,11:10:00,11:10:00,PK06,6
PK_PK01_PK30,11:12:00,11:12:00,PK07,7
PK_PK01_PK30,11:14:00,11:14:00,PK08,8
PK_PK01_PK30,11:16:00,11:16:00,PK09,9
PK_PK01_PK30,11:18:00,11:18:00,PK10,10
PK_PK01_PK30,11:20:00,11:20:00,PK11,11
PK_PK01_PK30,11:22:00,11:22:00,PK12,12
PK_PK01_PK30,11:24:00,11:24:00,PK13,13
