stop_id,stop_name,stop_name_th,stop_lat,stop_lon,stop_code,stop_desc,zone_id
CEN,Siam,สยาม,13.7456236,100.5342199,CEN,,
W1,National Stadium,สนามกีฬาแห่งชาติ,13.7465100,100.5290855,W1,,
S1,Ratchadamri,ราชดำริ,13.7394708,100.5394496,S1,,
S2,Sala Daeng,ศาลาแดง,13.7285677,100.5343416,S2,,sap
S3,Chong Nonsi,ช่องนนทรี,13.7237969,100.5293250,S3,,
S4,Saint Louis,เซนต์หลุยส์,13.7208160,100.5266863,S4,,
S5,Surasak,สุรศักดิ์,13.7192683,100.5214619,S5,,
S6,Saphan Taksin,สะพานตากสิน,13.7188128,100.5142230,S6,,
S7,Krung Thon Buri,กรุงธนบุรี,13.7209307,100.5027176,S7,,
S8,Wongwian Yai,วงเวียนใหญ่,13.721089, 100.495156,S8,,
S9,Pho Nimit,โพธิ์นิมิตร,13.7192465, 100.4859661,S9,,
S10,Talat Phlu,ตลาดพลู,13.714225, 100.476687,S10,,
S11,Wutthakat,วุฒากาศ,13.713032, 100.468906,S11,,
S12,Bang Wa,บางหว้า,13.720781, 100.457785,S12,,
E1,Chit Lom,ชิดลม,13.7440974,100.5430684,E1,,
E2,Phloen Chit,เพลินจิต,13.7430684,100.5489762,E2,, 
E3,Nana,นานา,13.7405358,100.5554291,E3,,
E4,Asok,อโศก,13.7370432,100.5603571,E4,,
E5,Phrom Phong,พร้อมพงษ์,13.7304345,100.5697129,E5,,
E6,Thong Lo,ทองหล่อ,13.724234, 100.578517,E6,,
E7,Ekkamai,เอกมัย,13.719539,100.585110,E7,,
E8,Phra Khanong,พระโขนง,13.7151693,100.5912365,E8,,
E9,On Nut,อ่อนนุช,13.7056249,100.6010040,E9,,
E10,Bang Chak,บางจาก,13.6967594,100.6053402,E10,,
E11,Punnawithi,ปุณณวิถี,13.689279,100.608995,E11,,
E12,Udom Suk,อุดมสุข,13.6798746,100.6094698,E12,,
E13,Bang Na,บางนา,13.6681380,100.6046633,E13,,
E14,Bearing,แบริ่ง,13.6611846,100.6018056,E14,,
E15,Samrong,สำโรง,13.6464875,100.5957857,E15,,
E16,Pu Chao,ปู่เจ้า,13.6372768,100.5920064,E16,,
E17,Chang Erawan,ช้างเอราวัณ,13.621588, 100.590144,E17,,
E18,Royal Thai Naval Academy,โรงเรียนนายเรือ,13.608420, 100.594946,E18,,
E19,Pak Nam,ปากน้ำ,13.602130, 100.597128,E19,,
E20,Srinagarindra,ศรีนครินทร์,13.591981, 100.609007,E20,,
E21,Phraek Sa,แพรกษา,13.584193, 100.607844,E21,,
E22,Sai Luat,สายลวด,13.577777, 100.605430,E22,,
E23,Kheha,เคหะสมุทรปราการ,13.567700, 100.607729,E23,,
N1,Ratchathewi,ราชเทวี,13.7518605,100.5315504,N1,,
N2,Phaya Thai,พญาไท,13.7569644,100.5338214,N2,,
N3,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,13.7627589,100.5370529,N3,,
N4,Sanam Pao,สนามเป้า,13.7726225,100.5420729,N4,,
N5,Ari,อารีย์,13.7797077,100.5446201,N5,,
N7,Saphan Khwai,สะพานควาย,13.7938228,100.5497084,N7,,
N8,Mo Chit,หมอชิต,13.802605, 100.553793,N8,,
N9,Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,13.8166807,100.5620359,N9,,
N10,Phahon Yothin 24,พหลโยธิน 24,13.8241206,100.5664253,N10,,
N11,Ratchayothin,รัชโยธิน,13.8297477,100.5697222,N11,,
N12,Sena Nikhom,เสนานิคม,13.8364057,100.5736286,N12,,
N13,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,13.8423141,100.5771050,N13,,
N14,Royal Forest Department,กรมป่าไม้,13.8503260,100.5818158,N14,,
N15,Bang Bua,บางบัว,13.8560490,100.5851786,N15,,
N16,11 Infantry Regiment,กรมทหารราบที่ 11,13.8675784,100.5919727,N16,,
N17,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.8752766,100.5967316,N17,,
N18,Phahon Yothin 59,พหลโยธิน 59,13.882448,100.600729,N18,,
N19,Sai Yud,สายหยุด,13.8884510,100.6042685,N19,,
N20,Saphan Mai,สะพานใหม่,13.8966129,100.6090774,N20,,
N21,Bhumibol Adulyadej Hospital,โรงพยาบาลภูมิพลอดุลยเดช,13.9107140,100.6173961,N21,,
N22,Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,13.9179713,100.6216910,N22,,
N23,Yeak Kor Por Aor,แยก คปอ.,13.9250126,100.6258374,N23,,
N24,Khu Khot,คูคต,13.9323658,100.6465227,N24,,
G1,Krung Thon Buri,กรุงธนบุรี,13.7211055,100.5037147,G1,BTS Gold Line,
G2,Charoen Nakhon,เจริญนคร,13.7264616, 100.5090719,G2,BTS Gold Line,
G3,Khlong San,คลองสาน,13.7303066,100.5077213,G3,BTS Gold Line,
BL01,Tha Phra,ท่าพระ,13.7296466, 100.4740422,BL01,MRT Blue Line,
BL02,Charan 13,จรัญฯ 13,13.7401714, 100.4707092,BL02,MRT Blue Line,
BL03,Fai Chai,ไฟฉาย,13.7558013, 100.4693198,BL03,MRT Blue Line,
BL04,Bang Khun Non,บางขุนนนท์,13.7633253, 100.4732959,BL04,MRT Blue Line,
BL05,Bang Yi Khan,บางยี่ขัน,13.7773820, 100.4852556,BL05,MRT Blue Line,
BL06,Sirindhorn,สิรินธร,13.7838726, 100.4933267,BL06,MRT Blue Line,
BL07,Bang Phlat,บางพลัด,13.7924113, 100.5048882,BL07,MRT Blue Line,
BL08,Bang O,บางอ้อ,13.7989803, 100.5097864,BL08,MRT Blue Line,
BL09,Bang Pho,บางโพ,13.8064217, 100.5210095,BL09,MRT Blue Line,
BL10,Tao Poon,เตาปูน,13.8061717, 100.5307752,BL10,MRT Blue Line,
BL11,Bang Sue,บางซื่อ,13.8023925, 100.5410464,BL11,MRT Blue Line,
BL12,Kamphaeng Phet,กำแพงเพชร,13.7979484, 100.5478837,BL12,MRT Blue Line,
BL13,Chatuchak Park,สวนจตุจักร,13.8029643, 100.5532845,BL13,MRT Blue Line,
BL14,Phahon Yothin,พหลโยธิน,13.8128808, 100.5614634,BL14,MRT Blue Line,
BL15,Lat Phrao,ลาดพร้าว,13.8065030, 100.5728701,BL15,MRT Blue Line,
BL16,Ratchadaphisek,รัชดาภิเษก,13.7989706, 100.5745537,BL16,MRT Blue Line,
BL17,Sutthisan,สุทธิสาร,13.7894884, 100.5740801,BL17,MRT Blue Line,
BL18,Huai Khwang,ห้วยขวาง,13.7786878, 100.5735662,BL18,MRT Blue Line,
BL19,Thailand Cultural Centre,ศูนย์วัฒนธรรมแห่งประเทศไทย,13.766222, 100.570154,BL19,MRT Blue Line,
BL20,Phra Ram 9,พระราม 9,13.7578166, 100.5652774,BL20,MRT Blue Line,
BL21,Phetchaburi,เพชรบุรี,13.7491853, 100.5634165,BL21,MRT Blue Line,
BL22,Sukhumvit,สุขุมวิท,13.737374, 100.561477,BL22,MRT Blue Line,
BL23,Queen Sirikit National Convention Centre,ศูนย์ประชุมแห่งชาติสิริกิติ์,13.7226725, 100.5599134,BL23,MRT Blue Line,
BL24,Khlong Toei,คลองเตย,13.7221264, 100.5543696,BL24,MRT Blue Line,
BL25,Lumphini,ลุมพินี,13.7256066, 100.5457249,BL25,MRT Blue Line,
BL26,Si Lom,สีลม,13.7291982, 100.5370702,BL26,MRT Blue Line,
