stop_id,stop_name,stop_name_en,stop_lat,stop_lon,stop_desc
relation/90337,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,13.739317,100.530242,university
relation/1307599,กระทรวงมหาดไทย,Ministry of Interior,13.750705,100.496922,government
relation/1723757,สำนักงานอัยการสูงสุด,Office of the Attorney General,13.752873,100.494695,government
relation/2100322,โรงพยาบาลรามาธิบดี,Ramathibodi Hospital,13.767605,100.526596,hospital
relation/2380281,ศาลาว่าการกรุงเทพมหานคร,Bangkok City Hall,13.753813,100.501734,townhall
relation/2840322,มหาวิทยาลัยธุรกิจบัณฑิตย์,Dhurakij Pundit University,13.870747,100.550953,university
relation/2939822,ตลาดผลไม้สะพานขาว,Saphan Khao Fruit Market,13.757267,100.516839,marketplace
relation/2939823,ตลาดมหานาค,Wang Mahanak Market,13.756178,100.517385,marketplace
relation/2939827,โรงแรมเอเชีย,โรงแรมเอเชีย,13.751302,100.530799,hotel
relation/5902497,สถาบันพัฒนาข้าราชการตำรวจ,สถาบันพัฒนาข้าราชการตำรวจ,13.836697,100.559115,government
relation/5972129,กรมพัฒนาที่ดิน,Land Development Department,13.837505,100.572331,government
relation/6186776,Varinda Hostel,Varinda Hostel,13.722584,100.561522,hostel
relation/8271107,สวนกีฬารามอินทรา,Ram Indra Sports Park,13.878743,100.620067,park
relation/8315038,อาคารศูนย์วิจัยและฝึกอบรม (กริต สามะพุทธิ),อาคารศูนย์วิจัยและฝึกอบรม (กริต สามะพุทธิ),13.849256,100.577736,government
relation/9216698,Healthy Park,Healthy Park,13.651569,100.495876,park
relation/9377846,สวนเฉลิมหล้า,สวนเฉลิมหล้า,13.750122,100.531703,park
relation/10366097,ศาลฏีกา,The supreme Court,13.754141,100.494840,courthouse
relation/10866861,เซ็นทรัล ชิดลม,เซ็นทรัล ชิดลม,13.744478,100.544608,department_store
relation/10888392,โรงพยาบาลศิริราช,Siriraj Hospital,13.757832,100.485663,hospital
relation/10904051,สวนรมณีนาถ,Rommani Nat Park,13.748951,100.502616,park
relation/10915800,Indra Square,Indra Square,13.753400,100.540716,mall
relation/11169995,วัดพระเชตุพนวิมลมังคลารามราชวรมหาวิหาร,Wat Phra Chettuphon Wimon Mangkhalaram Ratchaworamahawihan,13.746021,100.492561,place_of_worship
relation/11262072,โรงพยาบาลศิริราช ปิยมหาราชการุณย์,Siriraj Piyamaharajkarun Hospital,13.759888,100.486560,hospital
relation/11817454,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,13.729224,100.780129,university
relation/11900048,สวนสมเด็จพระปกเกล้าฯ,สวนสมเด็จพระปกเกล้าฯ,13.740495,100.499662,park
relation/12980860,ศาลเยาวชนและครอบครัวกลาง,The Central Juvenile and Family Court,13.799005,100.541060,courthouse
relation/13417659,วัดอมรินทรารามวรวิหาร,Wat Amarinthraram Worawihan,13.759526,100.483622,place_of_worship
relation/13432304,วัดเจ้าอาม,Wat Chao Am,13.775011,100.465470,place_of_worship
relation/13445405,วัดบางพลัด,Wat Bang Phlat,13.792906,100.499262,place_of_worship
relation/13445406,วัดจำปา,Wat Champa,13.774177,100.433616,place_of_worship
relation/13448724,วัดเศวตฉัตรวรวิหาร,Wat Sawettachat Worawihan,13.714140,100.505508,place_of_worship
relation/13448725,วัดลุ่มเจริญศรัทธา,Wat Lum Charoen Sattha,13.710108,100.514785,place_of_worship
relation/13919460,Picnic Hotel,Picnic Hotel,13.760068,100.540459,hotel
relation/15580561,สถานเอกอัครราชทูตสวิตเซอร์แลนด์,Embassy of Switzerland,13.745396,100.548481,diplomatic
relation/15688652,คลองถม เซ็นเตอร์,Klongthom Center,13.746413,100.506862,marketplace
relation/16112595,สวนวงเวียนเล็ก,Wongwian Lek Park,13.734370,100.496204,park
relation/16118083,Thomson Residence Hotel,Thomson Residence Hotel,13.668786,100.614431,hotel
relation/16159293,สำนักงานคณะกรรมการอุดมศึกษา,Office of the Higher Education Commission,13.765973,100.508160,government
relation/16179381,อุทยานเฉลิมพระเกียรติสมเด็จพระศรีนครินทราบรมราชชนนี,Princess Mother Memorial Park,13.736766,100.499591,park
relation/16261312,Bangkok Prep,Bangkok Prep,13.715550,100.602588,school
relation/16335306,Kokotel Bed & Cafe,Kokotel Bed & Cafe,13.727553,100.524333,hotel
relation/16678551,The Platinum Place,The Platinum Place,13.856089,100.640271,mall
relation/16713920,โรงเรียนนานาชาติเซนต์แอนดรูส์ สาทร,St. Andrews Sathorn International School,13.725162,100.535715,school
relation/16713921,คริสตจักรไครสต์เชิร์ช,Christ Church,13.723944,100.535569,place_of_worship
relation/17016313,โรงเรียนพระแม่มารี,โรงเรียนพระแม่มารี,13.703707,100.526468,school
